12/15/23 04:38:02 EST -0500 | ########## START ##########
12/15/23 04:38:02 EST -0500 | ##########  END  ##########
12/15/23 04:39:02 EST -0500 | ########## START ##########
12/15/23 04:39:02 EST -0500 | ##########  END  ##########
12/15/23 04:40:02 EST -0500 | ########## START ##########
12/15/23 04:40:03 EST -0500 | ##########  END  ##########
12/15/23 04:41:01 EST -0500 | ########## START ##########
12/15/23 04:41:02 EST -0500 | ##########  END  ##########
12/15/23 04:42:02 EST -0500 | ########## START ##########
12/15/23 04:42:02 EST -0500 | ##########  END  ##########
12/15/23 04:43:02 EST -0500 | ########## START ##########
12/15/23 04:43:03 EST -0500 | ##########  END  ##########
12/15/23 04:44:01 EST -0500 | ########## START ##########
12/15/23 04:44:02 EST -0500 | ##########  END  ##########
12/15/23 04:45:02 EST -0500 | ########## START ##########
12/15/23 04:45:02 EST -0500 | ##########  END  ##########
12/15/23 04:46:02 EST -0500 | ########## START ##########
12/15/23 04:46:03 EST -0500 | ##########  END  ##########
12/15/23 04:47:01 EST -0500 | ########## START ##########
12/15/23 04:47:02 EST -0500 | ##########  END  ##########
12/15/23 04:48:02 EST -0500 | ########## START ##########
12/15/23 04:48:02 EST -0500 | ##########  END  ##########
12/15/23 04:49:02 EST -0500 | ########## START ##########
12/15/23 04:49:03 EST -0500 | ##########  END  ##########
12/15/23 04:50:01 EST -0500 | ########## START ##########
12/15/23 04:50:02 EST -0500 | ##########  END  ##########
12/15/23 04:51:02 EST -0500 | ########## START ##########
12/15/23 04:51:02 EST -0500 | ##########  END  ##########
12/15/23 04:52:02 EST -0500 | ########## START ##########
12/15/23 04:52:03 EST -0500 | ##########  END  ##########
12/15/23 04:53:01 EST -0500 | ########## START ##########
12/15/23 04:53:02 EST -0500 | ##########  END  ##########
12/15/23 04:54:02 EST -0500 | ########## START ##########
12/15/23 04:54:02 EST -0500 | ##########  END  ##########
12/15/23 04:55:02 EST -0500 | ########## START ##########
12/15/23 04:55:03 EST -0500 | ##########  END  ##########
12/15/23 08:26:02 EST -0500 | ########## START ##########
12/15/23 08:26:03 EST -0500 | ##########  END  ##########
12/15/23 08:27:01 EST -0500 | ########## START ##########
12/15/23 08:27:02 EST -0500 | ##########  END  ##########
12/15/23 08:28:02 EST -0500 | ########## START ##########
12/15/23 08:28:03 EST -0500 | ##########  END  ##########
12/15/23 08:29:01 EST -0500 | ########## START ##########
12/15/23 08:29:02 EST -0500 | ##########  END  ##########
12/15/23 08:30:02 EST -0500 | ########## START ##########
12/15/23 08:30:02 EST -0500 | ##########  END  ##########
12/15/23 08:31:02 EST -0500 | ########## START ##########
12/15/23 08:31:03 EST -0500 | ##########  END  ##########
12/15/23 08:32:01 EST -0500 | ########## START ##########
12/15/23 08:32:02 EST -0500 | ##########  END  ##########
12/15/23 08:33:02 EST -0500 | ########## START ##########
12/15/23 08:33:02 EST -0500 | ##########  END  ##########
12/15/23 08:34:02 EST -0500 | ########## START ##########
12/15/23 08:34:03 EST -0500 | ##########  END  ##########
12/15/23 08:35:01 EST -0500 | ########## START ##########
12/15/23 08:35:02 EST -0500 | ##########  END  ##########
12/15/23 08:36:02 EST -0500 | ########## START ##########
12/15/23 08:36:02 EST -0500 | ##########  END  ##########
12/15/23 08:37:02 EST -0500 | ########## START ##########
12/15/23 08:37:03 EST -0500 | ##########  END  ##########
12/15/23 08:38:02 EST -0500 | ########## START ##########
12/15/23 08:38:02 EST -0500 | ##########  END  ##########
12/15/23 08:39:02 EST -0500 | ########## START ##########
12/15/23 08:39:03 EST -0500 | ##########  END  ##########
12/15/23 08:40:01 EST -0500 | ########## START ##########
12/15/23 08:40:02 EST -0500 | ##########  END  ##########
12/15/23 08:41:02 EST -0500 | ########## START ##########
12/15/23 08:41:02 EST -0500 | ##########  END  ##########
12/15/23 08:42:02 EST -0500 | ########## START ##########
12/15/23 08:42:03 EST -0500 | ##########  END  ##########
12/15/23 08:43:01 EST -0500 | ########## START ##########
12/15/23 08:43:02 EST -0500 | ##########  END  ##########
12/15/23 08:44:02 EST -0500 | ########## START ##########
12/15/23 08:44:02 EST -0500 | ##########  END  ##########
12/15/23 08:45:02 EST -0500 | ########## START ##########
12/15/23 08:45:03 EST -0500 | ##########  END  ##########
12/15/23 08:46:01 EST -0500 | ########## START ##########
12/15/23 08:46:02 EST -0500 | ##########  END  ##########
12/15/23 08:47:02 EST -0500 | ########## START ##########
12/15/23 08:47:02 EST -0500 | ##########  END  ##########
12/15/23 08:48:02 EST -0500 | ########## START ##########
12/15/23 08:48:03 EST -0500 | ##########  END  ##########
12/15/23 08:49:01 EST -0500 | ########## START ##########
12/15/23 08:49:02 EST -0500 | ##########  END  ##########
12/15/23 08:50:02 EST -0500 | ########## START ##########
12/15/23 08:50:02 EST -0500 | ##########  END  ##########
12/15/23 08:51:02 EST -0500 | ########## START ##########
12/15/23 08:51:03 EST -0500 | ##########  END  ##########
12/15/23 08:52:01 EST -0500 | ########## START ##########
12/15/23 08:52:02 EST -0500 | ##########  END  ##########
12/15/23 08:53:02 EST -0500 | ########## START ##########
12/15/23 08:53:02 EST -0500 | ##########  END  ##########
12/15/23 08:54:02 EST -0500 | ########## START ##########
12/15/23 08:54:03 EST -0500 | ##########  END  ##########
12/15/23 08:55:01 EST -0500 | ########## START ##########
12/15/23 08:55:02 EST -0500 | ##########  END  ##########
12/15/23 12:26:01 EST -0500 | ########## START ##########
12/15/23 12:26:02 EST -0500 | ##########  END  ##########
12/15/23 12:27:02 EST -0500 | ########## START ##########
12/15/23 12:27:02 EST -0500 | ##########  END  ##########
12/15/23 12:28:01 EST -0500 | ########## START ##########
12/15/23 12:28:02 EST -0500 | ##########  END  ##########
12/15/23 12:29:02 EST -0500 | ########## START ##########
12/15/23 12:29:02 EST -0500 | ##########  END  ##########
12/15/23 12:30:02 EST -0500 | ########## START ##########
12/15/23 12:30:03 EST -0500 | ##########  END  ##########
12/15/23 12:31:01 EST -0500 | ########## START ##########
12/15/23 12:31:02 EST -0500 | ##########  END  ##########
12/15/23 12:32:02 EST -0500 | ########## START ##########
12/15/23 12:32:02 EST -0500 | ##########  END  ##########
12/15/23 12:33:02 EST -0500 | ########## START ##########
12/15/23 12:33:03 EST -0500 | ##########  END  ##########
12/15/23 12:34:01 EST -0500 | ########## START ##########
12/15/23 12:34:02 EST -0500 | ##########  END  ##########
12/15/23 12:35:02 EST -0500 | ########## START ##########
12/15/23 12:35:02 EST -0500 | ##########  END  ##########
12/15/23 12:36:02 EST -0500 | ########## START ##########
12/15/23 12:36:03 EST -0500 | ##########  END  ##########
12/15/23 12:37:02 EST -0500 | ########## START ##########
12/15/23 12:37:02 EST -0500 | ##########  END  ##########
12/15/23 12:38:02 EST -0500 | ########## START ##########
12/15/23 12:38:02 EST -0500 | ##########  END  ##########
12/15/23 12:39:02 EST -0500 | ########## START ##########
12/15/23 12:39:03 EST -0500 | ##########  END  ##########
12/15/23 12:40:02 EST -0500 | ########## START ##########
12/15/23 12:40:02 EST -0500 | ##########  END  ##########
12/15/23 12:41:02 EST -0500 | ########## START ##########
12/15/23 12:41:02 EST -0500 | ##########  END  ##########
12/15/23 12:42:02 EST -0500 | ########## START ##########
12/15/23 12:42:03 EST -0500 | ##########  END  ##########
12/15/23 12:43:01 EST -0500 | ########## START ##########
12/15/23 12:43:02 EST -0500 | ##########  END  ##########
12/15/23 12:44:02 EST -0500 | ########## START ##########
12/15/23 12:44:02 EST -0500 | ##########  END  ##########
12/15/23 12:45:02 EST -0500 | ########## START ##########
12/15/23 12:45:03 EST -0500 | ##########  END  ##########
12/15/23 12:46:01 EST -0500 | ########## START ##########
12/15/23 12:46:02 EST -0500 | ##########  END  ##########
12/15/23 12:47:02 EST -0500 | ########## START ##########
12/15/23 12:47:02 EST -0500 | ##########  END  ##########
12/15/23 12:48:02 EST -0500 | ########## START ##########
12/15/23 12:48:03 EST -0500 | ##########  END  ##########
12/15/23 12:49:01 EST -0500 | ########## START ##########
12/15/23 12:49:02 EST -0500 | ##########  END  ##########
12/15/23 12:50:02 EST -0500 | ########## START ##########
12/15/23 12:50:02 EST -0500 | ##########  END  ##########
12/15/23 12:51:02 EST -0500 | ########## START ##########
12/15/23 12:51:03 EST -0500 | ##########  END  ##########
12/15/23 12:52:01 EST -0500 | ########## START ##########
12/15/23 12:52:02 EST -0500 | ##########  END  ##########
12/15/23 12:53:02 EST -0500 | ########## START ##########
12/15/23 12:53:02 EST -0500 | ##########  END  ##########
12/15/23 12:54:02 EST -0500 | ########## START ##########
12/15/23 12:54:03 EST -0500 | ##########  END  ##########
12/15/23 12:55:01 EST -0500 | ########## START ##########
12/15/23 12:55:02 EST -0500 | ##########  END  ##########
12/15/23 16:26:01 EST -0500 | ########## START ##########
12/15/23 16:26:02 EST -0500 | ##########  END  ##########
12/15/23 16:27:02 EST -0500 | ########## START ##########
12/15/23 16:27:02 EST -0500 | ##########  END  ##########
12/15/23 16:28:01 EST -0500 | ########## START ##########
12/15/23 16:28:02 EST -0500 | ##########  END  ##########
12/15/23 16:29:02 EST -0500 | ########## START ##########
12/15/23 16:29:02 EST -0500 | ##########  END  ##########
12/15/23 16:30:02 EST -0500 | ########## START ##########
12/15/23 16:30:03 EST -0500 | ##########  END  ##########
12/15/23 16:31:02 EST -0500 | ########## START ##########
12/15/23 16:31:02 EST -0500 | ##########  END  ##########
12/15/23 16:32:02 EST -0500 | ########## START ##########
12/15/23 16:32:03 EST -0500 | ##########  END  ##########
12/15/23 16:33:01 EST -0500 | ########## START ##########
12/15/23 16:33:02 EST -0500 | ##########  END  ##########
12/15/23 16:34:02 EST -0500 | ########## START ##########
12/15/23 16:34:02 EST -0500 | ##########  END  ##########
12/15/23 16:35:02 EST -0500 | ########## START ##########
12/15/23 16:35:03 EST -0500 | ##########  END  ##########
12/15/23 16:36:01 EST -0500 | ########## START ##########
12/15/23 16:36:02 EST -0500 | ##########  END  ##########
12/15/23 16:37:02 EST -0500 | ########## START ##########
12/15/23 16:37:02 EST -0500 | ##########  END  ##########
12/15/23 16:38:02 EST -0500 | ########## START ##########
12/15/23 16:38:03 EST -0500 | ##########  END  ##########
12/15/23 16:39:01 EST -0500 | ########## START ##########
12/15/23 16:39:02 EST -0500 | ##########  END  ##########
12/15/23 16:40:02 EST -0500 | ########## START ##########
12/15/23 16:40:03 EST -0500 | ##########  END  ##########
12/15/23 16:41:01 EST -0500 | ########## START ##########
12/15/23 16:41:02 EST -0500 | ##########  END  ##########
12/15/23 16:42:02 EST -0500 | ########## START ##########
12/15/23 16:42:02 EST -0500 | ##########  END  ##########
12/15/23 16:43:02 EST -0500 | ########## START ##########
12/15/23 16:43:03 EST -0500 | ##########  END  ##########
12/15/23 16:44:01 EST -0500 | ########## START ##########
12/15/23 16:44:02 EST -0500 | ##########  END  ##########
12/15/23 16:45:02 EST -0500 | ########## START ##########
12/15/23 16:45:02 EST -0500 | ##########  END  ##########
12/15/23 16:46:02 EST -0500 | ########## START ##########
12/15/23 16:46:03 EST -0500 | ##########  END  ##########
12/15/23 16:47:01 EST -0500 | ########## START ##########
12/15/23 16:47:02 EST -0500 | ##########  END  ##########
12/15/23 16:48:02 EST -0500 | ########## START ##########
12/15/23 16:48:02 EST -0500 | ##########  END  ##########
12/15/23 16:49:02 EST -0500 | ########## START ##########
12/15/23 16:49:03 EST -0500 | ##########  END  ##########
12/15/23 16:50:01 EST -0500 | ########## START ##########
12/15/23 16:50:02 EST -0500 | ##########  END  ##########
12/15/23 16:51:02 EST -0500 | ########## START ##########
12/15/23 16:51:02 EST -0500 | ##########  END  ##########
12/15/23 16:52:02 EST -0500 | ########## START ##########
12/15/23 16:52:03 EST -0500 | ##########  END  ##########
12/15/23 16:53:01 EST -0500 | ########## START ##########
12/15/23 16:53:02 EST -0500 | ##########  END  ##########
12/15/23 16:54:02 EST -0500 | ########## START ##########
12/15/23 16:54:02 EST -0500 | ##########  END  ##########
12/15/23 16:55:02 EST -0500 | ########## START ##########
12/15/23 16:55:03 EST -0500 | ##########  END  ##########
12/15/23 20:26:02 EST -0500 | ########## START ##########
12/15/23 20:26:02 EST -0500 | ##########  END  ##########
12/15/23 20:27:01 EST -0500 | ########## START ##########
12/15/23 20:27:02 EST -0500 | ##########  END  ##########
12/15/23 20:28:02 EST -0500 | ########## START ##########
12/15/23 20:28:03 EST -0500 | ##########  END  ##########
12/15/23 20:29:01 EST -0500 | ########## START ##########
12/15/23 20:29:02 EST -0500 | ##########  END  ##########
12/15/23 20:30:02 EST -0500 | ########## START ##########
12/15/23 20:30:02 EST -0500 | ##########  END  ##########
12/15/23 20:31:02 EST -0500 | ########## START ##########
12/15/23 20:31:02 EST -0500 | ##########  END  ##########
12/15/23 20:32:02 EST -0500 | ########## START ##########
12/15/23 20:32:03 EST -0500 | ##########  END  ##########
12/15/23 20:33:01 EST -0500 | ########## START ##########
12/15/23 20:33:02 EST -0500 | ##########  END  ##########
12/15/23 20:34:02 EST -0500 | ########## START ##########
12/15/23 20:34:02 EST -0500 | ##########  END  ##########
12/15/23 20:35:02 EST -0500 | ########## START ##########
12/15/23 20:35:03 EST -0500 | ##########  END  ##########
12/15/23 20:36:01 EST -0500 | ########## START ##########
12/15/23 20:36:02 EST -0500 | ##########  END  ##########
12/15/23 20:37:02 EST -0500 | ########## START ##########
12/15/23 20:37:02 EST -0500 | ##########  END  ##########
12/15/23 20:38:02 EST -0500 | ########## START ##########
12/15/23 20:38:03 EST -0500 | ##########  END  ##########
12/15/23 20:39:01 EST -0500 | ########## START ##########
12/15/23 20:39:02 EST -0500 | ##########  END  ##########
12/15/23 20:40:02 EST -0500 | ########## START ##########
12/15/23 20:40:02 EST -0500 | ##########  END  ##########
12/15/23 20:41:02 EST -0500 | ########## START ##########
12/15/23 20:41:03 EST -0500 | ##########  END  ##########
12/15/23 20:42:01 EST -0500 | ########## START ##########
12/15/23 20:42:02 EST -0500 | ##########  END  ##########
12/15/23 20:43:02 EST -0500 | ########## START ##########
12/15/23 20:43:02 EST -0500 | ##########  END  ##########
12/15/23 20:44:02 EST -0500 | ########## START ##########
